종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"004650","창해에탄올","KOSDAQ","","9350","10","0.11","85934774750"
"004780","대륙제관","KOSDAQ","","4230","25","0.59","67270531770"
"005160","동국산업","KOSDAQ","","2540","5","0.2","137780984280"
"005290","동진쎄미켐","KOSDAQ","","40800","-1650","-3.89","2079581140800"
"0054V0","엔에이치스팩32호","KOSDAQ","","2010","0","0.00","12495165000"
"005670","푸드웰","KOSDAQ","","6270","0","0.00","62700000000"
"005710","대원산업","KOSDAQ","","10570","140","1.34","211797432000"
"005860","한일사료","KOSDAQ","","2470","-20","-0.8","97327101950"
"005990","매일홀딩스","KOSDAQ","","11000","0","0.00","146281344000"
"006050","국영지앤엠","KOSDAQ","","5280","230","4.55","18424686720"
"006140","피제이전자","KOSDAQ","","4730","-20","-0.42","70311450000"
"006620","동구바이오제약","KOSDAQ","","3500","-5","-0.14","99627472000"
"006730","서부T&D","KOSDAQ","","11190","190","1.73","719258768370"
"0068Y0","비엔케이제3호스팩","KOSDAQ","","1977","1","0.05","8520870000"
"006910","보성파워텍","KOSDAQ","","7570","-70","-0.92","371912767680"
"006920","모헨즈","KOSDAQ","","3285","-100","-2.95","35872200000"
"0071M0","삼성스팩11호","KOSDAQ","","1985","-1","-0.05","11433600000"
"0072Z0","KB제33호스팩","KOSDAQ","","1965","-5","-0.25","15494025000"
"007330","푸른저축은행","KOSDAQ","","10090","-10","-0.1","152185452000"
"007370","진양제약","KOSDAQ","","3955","-5","-0.13","55902291585"
"007390","네이처셀","KOSDAQ","","25100","-400","-1.57","1617319905600"
"007530","와이엠","KOSDAQ","","1525","-5","-0.33","33937702275"
"007680","대원","KOSDAQ","","3310","-105","-3.07","43767262780"
"007720","소노스퀘어","KOSDAQ","","1185","5","0.42","23889706650"
"007770","한일화학","KOSDAQ","","8070","30","0.37","28325700000"
"007820","엠엑스로보틱스","KOSDAQ","","3615","15","0.42","84314159685"
"008290","원풍물산","KOSDAQ","","134","-2","-1.47","2726476426"
"0082N0","카나프테라퓨틱스","KOSDAQ","","13380","-170","-1.25","177961760400"
"008370","원풍","KOSDAQ","","4995","-65","-1.28","59940000000"
"008470","부스타","KOSDAQ","","1688","-10","-0.59","28374604800"
"008830","대동기어","KOSDAQ","","6400","-150","-2.29","122764262400"
"0088D0","메리츠제1호스팩","KOSDAQ","","2080","0","0.00","12053600000"
"0088M0","메쥬","KOSDAQ","","11800","-490","-3.99","116604650000"
"0091W0","신영스팩11호","KOSDAQ","","2020","-5","-0.25","12257360000"
"009300","삼아제약","KOSDAQ","","13950","50","0.36","88861500000"
